orderid     	orderdate               	shippeddate             	shipregion
----------- 	----------------------- 	----------------------- 	--------------
10515		2022-04-23 15:18:18.952376	2022-05-23 19:10:21.368604	No region
10545		2022-05-22 08:13:35.792405	2022-06-26 17:36:39.722297	WA
10578		2022-06-24 11:16:33.885167	2022-07-25 06:08:45.551525	No region
10593		2022-07-09 17:55:05.434179	2022-08-13 18:13:49.416803	No region
10596		2022-07-11 09:20:39.165808	2022-08-12 07:32:01.497158	WA
10660		2022-09-08 16:10:40.122053	2022-10-15 19:22:58.307952	OR
10705		2022-10-15 13:58:01.129387	2022-11-18 19:18:43.36957	Táchira
10709		2022-10-17 18:03:53.441285	2022-11-20 14:28:57.674398	SP
10727		2022-11-03 08:47:29.501043	2022-12-05 20:24:21.50106	No region
10726		2022-11-03 16:55:21.409798	2022-12-05 11:49:40.081289	No region

(10 row(s) affected)
