order_date	sum_price
----------	----------	
2023-01-01	1987.00
2023-01-02	2704.00
2023-01-03	0
2023-01-04	0
2023-01-05	2758.00
2023-01-06	20381.70
2023-01-07	2450.00
2023-01-08	915.90
2023-01-09	4389.06
2023-01-10	0
2023-01-11	0
2023-01-12	1573.00
2023-01-13	4670.00
2023-01-14	3253.35
2023-01-15	3366.82
2023-01-16	5959.50
2023-01-17	0
2023-01-18	0
2023-01-19	3768.00
2023-01-20	5556.00
2023-01-21	5006.00
2023-01-22	7276.90
2023-01-23	2723.64
2023-01-24	0
2023-01-25	0
2023-01-26	5724.00
2023-01-27	6390.25
2023-01-28	3290.95
2023-01-29	2606.25
2023-01-30	4104.40
2023-01-31	0
2023-02-01	0
2023-02-02	18051.00
2023-02-03	1560.00
2023-02-04	3794.60
2023-02-05	4250.20
2023-02-06	1376.30
2023-02-07	0
2023-02-08	0
2023-02-09	3003.00
2023-02-10	4106.30
2023-02-11	1138.40
2023-02-12	2695.60
2023-02-13	3197.50
2023-02-14	0
2023-02-15	0
2023-02-16	12845.10
2023-02-17	2588.35
2023-02-18	14779.51
2023-02-19	11585.74
2023-02-20	219.00
2023-02-21	0
2023-02-22	0
2023-02-23	1950.30
2023-02-24	3216.30
2023-02-25	536.00
2023-02-26	11905.05
2023-02-27	1763.70
2023-02-28	0
2023-03-01	0
2023-03-02	3418.69
2023-03-03	4004.50
2023-03-04	3107.90
2023-03-05	2112.25
2023-03-06	6138.10
2023-03-07	0
2023-03-08	0
2023-03-09	1770.00
2023-03-10	5037.30
2023-03-11	6400.00
2023-03-12	2791.60
2023-03-13	7004.25
2023-03-14	0
2023-03-15	0
2023-03-16	5759.10
2023-03-17	2672.10
2023-03-18	2698.70
2023-03-19	5050.60
2023-03-20	4156.10
2023-03-21	0
2023-03-22	0
2023-03-23	2426.40
2023-03-24	2556.11
2023-03-25	2068.50
2023-03-26	8547.20
2023-03-27	17930.50
2023-03-28	0
2023-03-29	0
2023-03-30	6277.95
2023-03-31	7897.60

(90 row(s) affected)
