monthno     	val             avglast3months 	ytdval
----------- 	----------	--------------	------------
1		61258.08	0.000		61258.08
2		38483.64	61258.080	99741.72
3		38547.23	49870.860	138288.95
4		53032.95	46096.317	191321.90
5		53781.30	43354.607	245103.20
6		36362.82	48453.827	281466.02
7		51020.86	47725.690	332486.88
8		47287.68	47054.993	379774.56
9		55629.27	44890.453	435403.83
10		66749.23	51312.603	502153.06
11		43533.80	56555.393	545686.86
12		71398.44	55304.100	617085.30
	
(12 row(s) affected)
